Brand,Model,Variant,Year of Manufacture,Driven Kilometers,Fuel type,Transmission Type,Number of Owners,Location,Price in Lakhs
Hyundai,Eon,1.0 Era Plus,2015,"85,000",PETROL,MANUAL,2nd,Rajasthan," 2,15,000"
Hyundai,Alcazar,Prestige,2021,800.0,PETROL,AUTOMATIC,1st,Maharashtra," 20,75,000"
Hyundai,Santro,XE,2004,"90,000",PETROL,MANUAL,3rd,Tamil," 1,20,000"
Maruti,Suzuki,LXI,2019,31196.0,PETROL,MANUAL,1st,Rajasthan," 4,50,000"
Maruti,Suzuki,2012-2015 VDI,2012,120000,DIESEL,MANUAL,First,Tamil," 5,80,000"
Maruti,Suzuki,LDI Optional,2017,80200.0,DIESEL,MANUAL,1st,Rajasthan," 5,01,000"
Honda,Jazz,,2020,16000.0,PETROL,MANUAL,1st,Karnataka," 9,50,000"
Skoda,Rapid,2013-2016 1.5 TDI AT Elegance,2015,61003.0,DIESEL,AUTOMATIC,2nd,Karnataka," 7,75,000"
Maruti,Suzuki,VDI,2019,40000.0,DIESEL,MANUAL,1st,Tamil," 7,40,000"
Honda,City,2014-2015 i DTEC SV,2014,79000.0,DIESEL,MANUAL,1st,Delhi," 4,20,000"
Hyundai,Grand,2013-2016 Sportz,2015,55632.0,PETROL,MANUAL,2nd,Rajasthan," 3,81,000"
Maruti,Suzuki,LXI CNG,2015,140000,CNG,MANUAL,First,Maharashtra," 2,55,000"
Toyota,Innova,2004-2011 2.5 G4 Diesel 8-seater,2007,160365,DIESEL,MANUAL,Second,Tamil," 6,50,000"
Jaguar,Xj,2009-2013 3.0L,2013,42000.0,DIESEL,AUTOMATIC,1st,Delhi," 24,75,000"
Mahindra,Others,,2002,18,DIESEL,MANUAL,3rd,Rajasthan," 2,00,000"
Honda,Jazz,VX CVT,2019,6040.0,PETROL,AUTOMATIC,1st,Karnataka," 8,12,000"
Mahindra,Xuv500,W10 2WD,2015,116214.0,DIESEL,MANUAL,2nd,Karnataka," 11,00,000"
Volkswagen,Vento,1.5 TDI Highline,2012,70822.0,DIESEL,MANUAL,2nd,Rajasthan," 2,85,000"
Bmw,3,2011-2015 320d Luxury Line,2011,40000.0,DIESEL,AUTOMATIC,3rd,Rajasthan," 10,50,000"
Maruti,Suzuki,,2008,64000.0,PETROL,--,2nd,Tamil," 1,45,000"
Maruti,Suzuki,Zeta,2017,"55,000",PETROL,AUTOMATIC,1st,Rajasthan," 6,00,000"
Hyundai,I10,Sportz AT,2012,42273.0,PETROL,AUTOMATIC,2nd,Karnataka," 4,15,000"
Maruti,Suzuki,2000-2005 LXI,2004,53000.0,PETROL,MANUAL,2nd,Tamil," 1,45,000"
Hyundai,I20,1.2 Asta,2009,45000.0,PETROL,MANUAL,1st,Maharashtra," 2,49,000"
Hyundai,Santa,2009-2013 4X4,2011,159000.0,DIESEL,MANUAL,1st,Rajasthan," 6,50,000"
Ford,Ikon,1.4 ZXi,2003,"40,000",PETROL,AUTOMATIC,2nd,Tamil," 99,000"
Maruti,Suzuki,Vxi,2009,36418.0,PETROL,MANUAL,1st,Tamil," 2,60,000"
Mahindra,Supro,Others,2017,54000.0,DIESEL,MANUAL,1st,Kerala," 3,25,000"
Audi,Q3,2.0 TDI,2014,111000.0,DIESEL,AUTOMATIC,1st,Maharashtra," 14,80,000"
Toyota,Innova,2012-2013 2.5 GX (Diesel) 8 Seater,2012,"118,000",DIESEL,MANUAL,2nd,Maharashtra," 6,65,000"
Renault,Kwid,RXT Optional,2019,40000,PETROL,MANUAL,First,Rajasthan," 4,09,000"
Jaguar,Xe,Portfolio,2019,17000.0,PETROL,AUTOMATIC,2nd,Delhi," 34,00,000"
Maruti,Suzuki,AC BSIII,2005,"78,000",PETROL,MANUAL,3rd,Karnataka," 90,000"
Hyundai,Eon,Sportz,2013,80000.0,PETROL,--,1st,Kerala," 2,10,000"
Honda,Civic,1.8 V MT,2007,78896,PETROL,MANUAL,Second,Tamil," 3,10,000"
Maruti,Suzuki,8 Seater BSIV,2018,41000.0,PETROL,MANUAL,2nd,Maharashtra," 3,50,000"
Maruti,Suzuki,Maruti MPI STD BSIII 5-STR W/ IMMOBILISER,2017,"30,000",PETROL,MANUAL,1st,Tamil," 2,00,000"
Hyundai,I20,1.4 SX Dual Tone,2015,"116,000",DIESEL,MANUAL,2nd,Rajasthan," 5,70,000"
Tata,Safari,DICOR 2.2 VX 4x4,2013,"175,000",DIESEL,MANUAL,2nd,Kerala," 5,80,000"
Maruti Suzuki,Swift,VDi,Nov 2012,"38,061",Diesel,Manual,First,Noida,3.6
Mercedes-Benz,Cls-Class,250 CDI,2012,61000.0,DIESEL,AUTOMATIC,2nd,Maharashtra," 9,50,000"
Toyota,Innova,2.5 V 7 STR,2015,65528.0,DIESEL,MANUAL,2nd,Delhi," 9,90,000"
Mahindra,E,Others,2018,"56,000",ELECTRIC,AUTOMATIC,1st,Karnataka," 3,60,000"
Maruti,Suzuki,VXI,2011,65000.0,PETROL,MANUAL,3rd,Rajasthan," 1,75,000"
Maruti Suzuki,Ciaz,ZDi+ SHVS,Jun 2016,"86,000",Diesel,Manual,Second,Noida,6.1
Mercedes-Benz,GLA,200 d Sport,Jun 2017,"50,000",Diesel,Automatic,Second,Noida,25
Chevrolet,Beat,2010-2013 Diesel LT,2011,98256.0,DIESEL,MANUAL,1st,Maharashtra," 1,89,000"
Maruti,Suzuki,VXI,2015,64000.0,PETROL,MANUAL,1st,Kerala," 3,65,000"
Hyundai,Verna,2006-2009 CRDi SX ABS,2009,"65,000",DIESEL,MANUAL,4th,Rajasthan," 1,80,000"
Hyundai,Verna,CRDi 1.6 AT SX Plus,2013,110000.0,DIESEL,AUTOMATIC,1st,Kerala," 5,45,000"
Maruti,Suzuki,VXi,2010,56000.0,PETROL,MANUAL,1st,Karnataka," 2,35,000"
Maruti,Suzuki,Vdi BSIV,2016,70000.0,DIESEL,MANUAL,2nd,Rajasthan," 5,75,000"
Volkswagen,Ameo,1.2 MPI Highline,2016,46097.0,PETROL,MANUAL,1st,Karnataka," 5,85,000"
Honda,City,1997-2006 1.5 EXI S,2010,"131,000",PETROL,MANUAL,2nd,Kerala," 4,15,000"
Maruti,Suzuki,LXI Option,2010,56000.0,PETROL,MANUAL,1st,Delhi," 2,20,000"
Maruti,Suzuki,8 Seater BSIV,2007,"75,000",PETROL,MANUAL,2nd,Kerala," 1,05,000"
Toyota,Corolla,Altis 1.8 J,2011,61000.0,PETROL,MANUAL,1st,Delhi," 3,61,000"
Tata,Indica,DL,2010,"90,000",DIESEL,MANUAL,3rd,Tamil," 75,000"
Mercedes-Benz,C-Class,Prime C 220d,2020,27000.0,DIESEL,AUTOMATIC,1st,Delhi," 41,75,000"
Maruti,Suzuki,LXI,2017,83000.0,PETROL,MANUAL,1st,Kerala," 2,70,000"
Mercedes-Benz,Gla,2014-2017 200 CDI,2015,71000.0,DIESEL,AUTOMATIC,1st,Delhi," 14,75,000"
Bmw,5,520d,2013,60000.0,DIESEL,AUTOMATIC,1st,Tamil," 21,50,000"
Honda,Amaze,1.2 SMT I VTEC,2016,41000.0,CNG & HYBRIDS,MANUAL,1st,Delhi," 4,35,000"
Maruti,Suzuki,1.2 AMT Zeta,2017,52365.0,PETROL,AUTOMATIC,1st,Kerala," 5,65,000"
Volkswagen,Polo,2013-2015 1.2 MPI Comfortline,2012,"55,000",PETROL,MANUAL,--,Kerala," 3,15,000"
